55
abbott and costello
adam and eve
an arm and a leg
antony and cleopatra
apples and oranges
bacon and eggs
barbie and ken
batman and robin
bed and breakfast
before and after
bert and ernie
big and small
big and tall
black and white
bonnie and clyde
bow and arrow
boys and girls
bread and butter
cain and abel
castor and pollux
cold and hot
crick and watson
cut and paste
day and night
death and taxes
dick and jane
divide and conquer
dogs and cats
each and every
ebony and ivory
fast and slow
fat and thin
fife and drum
fire and brimstone
fish and chips
flotsam and jetsam
free and clear
gilbert and sullivan
give and take
good and bad
good and evil
hansel and gretel
happy and sad
heaven and earth
heaven and hell
high and low
hiroshima and nagasaki
hot and cold
in and out
jack and jill
jekyll and hyde
king and queen
kirk and spock
ladies and gentlemen
lady and the tramp
lancelot and guinevere
laurel and hardy
left and right
lewis and clark
love and hate
lucy and desi
mad dogs and englishmen
marx and engels
meat and potatoes
michelson and morley
mom and pop
motherhood and apple pie
napoleon and josephine
near and far
new and old
old and young
open and shut
orpheus and eurydice
phobos and deimos
porgy and bess
punch and judy
push and pull
question and answer
republicans and democrats
right and left
right and wrong
rock and a hard place
rock and roll
romeo and juliet
romulus and remus
salt and pepper
simon and garfunkel
skull and bones
smoke and mirrors
stars and stripes
sweet and sour
tarzan and jane
the iliad and the odyssey
the owl and the pussycat
thunder and lightning
tom and jerry
trinidad and tobago
tristan and isolde
tweedledum and tweedledee
ulna and radius
up and down
venus and mars
war and peace
watson and crick
xylem and phloem
yin and yang
young and old
zeroes and ones
